obsID,timelbl2,timelbl3,place
269,Day,Day,Mudflats_Territory
270,Day,Day,Mudflats_Territory
271,Day,Day,Mudflats_Territory
272,Day,Day,Mudflats_Territory
273,Day,Day,Mudflats_Territory
274,Day,Day,Mudflats_Territory
275,Day,Day,Mudflats_Territory
276,Day,Day,Mudflats_Territory
278,Day,Day,Mudflats_Territory
279,Day,Day,Mudflats_Territory
280,Day,Day,Mudflats_Territory
281,Day,Day,Mudflats_Territory
282,Day,Day,Mudflats_Territory
283,Day,Day,Mudflats_Territory
284,Day,Day,Mudflats_Territory
285,Day,Day,Mudflats_Territory
287,Day,Day,Mudflats_Territory
288,Day,Day,Mudflats_Territory
289,Day,Day,Mudflats_Territory
290,Day,Day,Mudflats_Territory
291,Day,Day,Mudflats_Territory
292,Day,Day,Mudflats_Territory
294,Day,Day,Mudflats_Territory
295,Day,Day,Mudflats_Territory
296,Day,Day,Mudflats_Territory
297,Day,Day,Mudflats_Territory
299,Day,Day,Mudflats_Territory
300,Day,Day,Mudflats_Territory
302,Day,Day,Mudflats_Territory
303,Day,Day,Mudflats_Territory
304,Day,Day,Mudflats_Territory
306,Day,Day,Mudflats_Territory
307,Day,Day,Mudflats_Territory
309,Day,Day,Mudflats_Territory
312,Day,Day,Mudflats_Territory
313,Day,Day,Mudflats_Territory
314,Day,Day,Mudflats_Territory
316,Day,Day,Mudflats_Territory
317,Day,Day,Mudflats_Territory
318,Day,Day,Mudflats_Territory
320,Day,Day,Mudflats_Territory
321,Day,Day,Mudflats_Territory
322,Day,Day,Mudflats_Territory
323,Day,Day,Mudflats_Territory
325,Day,Day,Mudflats_Territory
326,Day,Day,Mudflats_Territory
327,Day,Day,Mudflats_Territory
330,Day,Twilight,Mudflats_Territory
331,Day,Twilight,Mudflats_Territory
333,Night,Twilight,Mudflats_Territory
334,Night,Twilight,Mudflats_Territory
335,Night,Twilight,Mudflats_Territory
336,Night,Twilight,Mudflats_Territory
337,Night,Twilight,Mudflats_Territory
339,Night,Night,Mudflats_Territory
340,Night,Night,Mudflats_Territory
341,Night,Night,Mudflats_Territory
343,Night,Night,Mudflats_Territory
344,Night,Night,Mudflats_Territory
346,Night,Night,Mudflats_Territory
347,Night,Night,Mudflats_Territory
348,Night,Night,Mudflats_Territory
349,Night,Night,Mudflats_Territory
352,Night,Night,Mudflats_Territory
353,Night,Night,Mudflats_Territory
354,Night,Night,Mudflats_Territory
355,Night,Night,Mudflats_Territory
356,Night,Night,Mudflats_Territory
357,Night,Night,Mudflats_Territory
358,Night,Night,Mudflats_Territory
359,Night,Night,Mudflats_Territory
362,Night,Night,Mudflats_Territory
363,Night,Night,Mudflats_Territory
365,Night,Night,Mudflats_Territory
366,Night,Night,Mudflats_Territory
367,Night,Twilight,Mudflats_Territory
368,Night,Twilight,Mudflats_Territory
369,Night,Twilight,Mudflats_Territory
373,Day,Twilight,Mudflats_Territory
374,Day,Twilight,Mudflats_Territory
377,Day,Twilight,Mudflats_Territory
378,Day,Twilight,Mudflats_Territory
379,Day,Day,Mudflats_Territory
380,Day,Day,Mudflats_Territory
381,Day,Day,Mudflats_Territory
382,Day,Day,Mudflats_Territory
383,Day,Day,Mudflats_Territory
384,Day,Day,Mudflats_Territory
386,Day,Day,Mudflats_Territory
387,Day,Day,Mudflats_Territory
388,Day,Day,Mudflats_Territory
390,Day,Day,Mudflats_Territory
391,Day,Day,Mudflats_Territory
392,Day,Day,Mudflats_Territory
393,Day,Day,Mudflats_Territory
395,Day,Day,Mudflats
396,Day,Day,Mudflats
399,Day,Day,Mudflats
401,Day,Day,Mudflats
403,Day,Day,Mudflats
404,Day,Day,Mudflats
405,Day,Day,Mudflats
406,Day,Day,Mudflats
409,Day,Day,Mudflats_Territory
410,Day,Day,Mudflats_Territory
412,Day,Day,Mudflats_Territory
413,Day,Day,Mudflats_Territory
414,Day,Day,Mudflats_Territory
415,Day,Day,Mudflats_Territory
416,Day,Day,Mudflats_Territory
417,Day,Day,Mudflats_Territory
419,Day,Day,Mudflats_Territory
420,Day,Day,Mudflats_Territory
421,Day,Day,Mudflats_Territory
422,Day,Day,Mudflats_Territory
423,Day,Day,Mudflats_Territory
424,Day,Day,Mudflats_Territory
426,Day,Day,Mudflats_Territory
427,Day,Day,Mudflats_Territory
428,Day,Day,Mudflats_Territory
429,Day,Day,Mudflats_Territory
430,Day,Day,Mudflats_Territory
431,Day,Day,Mudflats_Territory
432,Day,Day,Mudflats_Territory
433,Day,Day,Mudflats_Territory
435,Day,Day,Mudflats_Territory
436,Day,Day,Mudflats_Territory
